id,label
http://www.orpha.net/ORDO/Orphanet_10,"48,XXYY syndrome"
http://www.orpha.net/ORDO/Orphanet_100,Ataxia-telangiectasia
http://www.orpha.net/ORDO/Orphanet_1000,Ocular albinism with late-onset sensorineural deafness
http://www.orpha.net/ORDO/Orphanet_100002,Extraneural perineurioma
http://www.orpha.net/ORDO/Orphanet_100003,Intraneural perineurioma
http://www.orpha.net/ORDO/Orphanet_100011,Lissencephaly with cerebellar hypoplasia type A
http://www.orpha.net/ORDO/Orphanet_100012,Lissencephaly with cerebellar hypoplasia type B
http://www.orpha.net/ORDO/Orphanet_100013,Lissencephaly with cerebellar hypoplasia type C
http://www.orpha.net/ORDO/Orphanet_100014,Lissencephaly with cerebellar hypoplasia type D
http://www.orpha.net/ORDO/Orphanet_100015,Lissencephaly with cerebellar hypoplasia type E
http://www.orpha.net/ORDO/Orphanet_100016,Lissencephaly with cerebellar hypoplasia type F
http://www.orpha.net/ORDO/Orphanet_100035,Solitary necrotic nodule of the liver
http://www.orpha.net/ORDO/Orphanet_100043,Autosomal dominant intermediate Charcot-Marie-Tooth disease type A
http://www.orpha.net/ORDO/Orphanet_100044,Autosomal dominant intermediate Charcot-Marie-Tooth disease type B
http://www.orpha.net/ORDO/Orphanet_100045,Autosomal dominant intermediate Charcot-Marie-Tooth disease type C
http://www.orpha.net/ORDO/Orphanet_100046,Autosomal dominant intermediate Charcot-Marie-Tooth disease type D
http://www.orpha.net/ORDO/Orphanet_100047,Esophageal duplication cyst
http://www.orpha.net/ORDO/Orphanet_100048,Tubular duplication of the esophagus
http://www.orpha.net/ORDO/Orphanet_100057,Renin-angiotensin-aldosterone system-blocker-induced angioedema
http://www.orpha.net/ORDO/Orphanet_100069,Semantic dementia
http://www.orpha.net/ORDO/Orphanet_100070,Progressive non-fluent aphasia
http://www.orpha.net/ORDO/Orphanet_100071,Mosaic trisomy 3 syndrome
http://www.orpha.net/ORDO/Orphanet_100075,Neuroendocrine tumor of stomach
http://www.orpha.net/ORDO/Orphanet_100078,Ileal neuroendocrine tumor
http://www.orpha.net/ORDO/Orphanet_100079,Neuroendocrine neoplasm of appendix
http://www.orpha.net/ORDO/Orphanet_100080,Neuroendocrine tumor of the colon
http://www.orpha.net/ORDO/Orphanet_100081,Neuroendocrine tumor of the rectum
http://www.orpha.net/ORDO/Orphanet_100082,Neuroendocrine tumor of anal canal
http://www.orpha.net/ORDO/Orphanet_100083,Laryngeal neuroendocrine tumor
http://www.orpha.net/ORDO/Orphanet_100084,Middle ear neuroendocrine tumor
http://www.orpha.net/ORDO/Orphanet_100085,Primary hepatic neuroendocrine carcinoma
http://www.orpha.net/ORDO/Orphanet_100086,Gallbladder neuroendocrine tumor
http://www.orpha.net/ORDO/Orphanet_100093,Carcinoid syndrome
http://www.orpha.net/ORDO/Orphanet_1001,2q37 microdeletion syndrome
http://www.orpha.net/ORDO/Orphanet_1003,Scalp defects-postaxial polydactyly syndrome
http://www.orpha.net/ORDO/Orphanet_1005,Alopecia-contractures-dwarfism-intellectual disability syndrome
http://www.orpha.net/ORDO/Orphanet_1006,Alopecia antibody deficiency
http://www.orpha.net/ORDO/Orphanet_1008,Alopecia-epilepsy-pyorrhea-intellectual disability syndrome
http://www.orpha.net/ORDO/Orphanet_100924,Porphyria due to ALA dehydratase deficiency
http://www.orpha.net/ORDO/Orphanet_100973,FRAXE intellectual disability
http://www.orpha.net/ORDO/Orphanet_100974,FRAXF syndrome
http://www.orpha.net/ORDO/Orphanet_100976,Bathing suit ichthyosis
http://www.orpha.net/ORDO/Orphanet_100978,Cloverleaf skull-asphyxiating thoracic dysplasia syndrome
http://www.orpha.net/ORDO/Orphanet_100984,Autosomal dominant spastic paraplegia type 3
http://www.orpha.net/ORDO/Orphanet_100985,Autosomal dominant spastic paraplegia type 4
