disease,score
"""Disease""",472.37387499996913
"""Malformation syndrome""",196.46600000000325
"""Morphological anomaly""",183.30651250000173
"""Particular clinical situation in a disease or syndrome""",7.268750000000006
"""Clinical syndrome""",5.664375000000004
"""Biological anomaly""",1.48875
"""Lissencephaly with cerebellar hypoplasia type B""",0.15000000000000002
"""Lissencephaly with cerebellar hypoplasia type A""",0.15000000000000002
"""Ocular albinism with late-onset sensorineural deafness""",0.15000000000000002
"""Lissencephaly with cerebellar hypoplasia type E""",0.15000000000000002
